feature,score,min,max,n_null,n_gt1w
x183,157,-1.0,100.0,131,0,numeric
x460,156,0,215,0,0,numeric
x295,156,-1,1320,19,0,numeric
x32,156,-1.0,100.0,130,0,numeric
x80,156,-1.0,100.0,92,0,numeric
x937,156,-1,67,4951,0,numeric
x479,155,-1,754,20,0,numeric
x729,155,-1,369,9554,0,numeric
x166,155,-1.0,25.0,131,0,numeric
x483,154,-1,585,20,0,numeric
x824,154,-1,192,19,0,numeric
x796,153,-1,25078,19,4,numeric
x981,153,-1,182,19,0,numeric
x49,152,-1.0,28.57,92,0,numeric
x581,151,-1,11610,19,1,numeric
x958,151,-1.0,278.69,6105,0,numeric
x353,150,0.0,3676.0,0,0,numeric
x475,150,-1,1521,20,0,numeric
x737,150,-1,101,19,0,numeric
x909,150,-1,82,4951,0,numeric
x36,150,-1.0,22.65,19,0,numeric
x282,149,-1,8902,19,0,numeric
x435,149,-1.0,81.05,52,0,numeric
x674,148,-1,5210,19,0,numeric
x413,148,-1,54,19,0,numeric
x478,147,-1,4369,20,0,numeric
x964,147,-1,19,4421,0,numeric
x707,146,-1,8617,19,0,numeric
x979,146,-1,1216,19,0,numeric
x373,146,-1,1211,19,0,numeric
x994,146,-1,1138,19,0,numeric
x1057,146,-1,1126,4951,0,numeric
x384,146,-1,153,19,0,numeric
x187,146,-1.0,13.39,19,0,numeric
x253,145,-1,15475,19,1,numeric
x555,144,-1,1361,19,0,numeric
x548,144,-1,260,47,0,numeric
x643,143,-1,3523,19,0,numeric
x1060,143,-1,355,4951,0,numeric
x1009,143,-1,54,19,0,numeric
x963,143,-1,17,4421,0,numeric
x418,143,-1,17,19,0,numeric
x194,142,-1.0,12.24,19,0,numeric
x517,141,-1,3523,19,0,numeric
x590,141,-1,544,19,0,numeric
x64,141,-1.0,100.0,130,0,numeric
x593,141,-1,24,44,0,numeric
x78,141,-1.0,14.2,19,0,numeric
x255,140,-1,1750,19,0,numeric
x493,140,-1,346,83,0,numeric
x529,139,-1,33028,19,13,numeric
x761,138,-1,13894,19,1,numeric
x458,137,0,37,0,0,numeric
x623,137,-1,14591,19,1,numeric
x987,137,-1,156,19,0,numeric
x329,137,-24.9121,51.79815,4281,0,numeric
